555,0,1,750,4,0,12,0,1,0,13500,0,23,1,58,1,1,0,0,0,0,0,0,0,110,2017,2,0,0,0,0,0,0,0,1,0,0,0,15,13500,1,3000,0,0,0,0
1085,0,1,750,0,0,10,1,1,0,16197,0,19,0,40,1,0,0,5500,5,0,0,1,0,100,2016,2,0,0,0,0,0,0,0,1,0,0,0,12,10697,1,3000,0,0,0,1
5,0,1,750,0,0,5,1,1,0,31387,1,8,1,39,1,0,0,3400,2,0,1,1,0,60,2018,2,0,0,1,0,0,0,0,0,0,0,0,8,27987,1,3000,0,0,0,0
2434,0,1,750,1,0,9,1,1,0,33536,0,8,1,62,2,0,0,28400,6,0,0,1,0,119,2012,2,0,0,0,1,0,0,0,1,0,0,0,1,5136,1,2750,0,0,0,0
4537,0,1,750,0,0,6,0,3,1,15377,0,15,1,28,2,0,1,9800,5,0,0,0,0,43,2016,2,0,0,0,0,0,0,0,1,0,0,0,14,5577,1,2800,0,0,0,0
306,0,1,750,1,0,6,1,1,0,50035,0,23,0,42,1,0,0,8900,6,0,2,1,0,90,2019,2,0,1,1,0,0,0,0,0,0,0,0,19,41135,1,3000,0,0,0,1
1906,0,1,750,3,0,7,0,1,1,26000,1,20,1,43,3,1,0,15000,5,0,1,0,1,45,2020,3,0,0,1,1,1,0,0,0,0,0,0,3,11000,1,3000,0,0,0,0
2327,0,1,750,0,0,3,1,2,0,32347,0,22,1,22,3,0,0,3400,4,0,2,1,0,18,2016,2,0,0,2,1,0,0,0,0,1,0,0,18,28947,1,2700,0,0,0,0
4540,0,1,750,1,0,6,0,5,1,14500,1,15,0,23,3,0,0,0,5,0,1,1,0,6,2015,3,0,0,0,0,1,0,0,0,0,0,0,14,14500,1,3000,0,0,0,1
1253,0,1,750,3,0,1,0,5,1,47705,0,1,1,44,3,0,0,37800,1,0,0,1,0,4,2016,2,0,0,0,0,0,0,0,1,0,0,0,18,9905,1,3000,0,0,0,0
2694,0,1,750,2,0,7,0,3,1,27186,1,14,0,20,3,0,0,10900,6,0,1,1,0,31,2019,2,0,0,1,0,0,0,0,0,0,0,0,6,16286,1,3000,0,0,1,0
4133,0,1,750,1,0,12,0,1,1,160026,0,5,0,48,4,0,0,146300,3,0,0,1,0,127,2018,2,0,0,0,0,0,0,0,1,0,0,0,19,13726,1,3000,0,0,0,1
2733,1,0,750,0,1,11,1,1,0,236356,1,29,0,25,3,0,0,224500,4,1,1,0,1,86,2008,1,0,0,0,1,0,1,0,0,0,0,0,18,11856,0,3000,0,0,0,0
2498,0,0,750,3,0,9,0,3,1,25500,1,16,0,40,2,0,0,0,0,0,2,1,0,24,2017,3,0,0,0,3,1,0,0,0,0,0,0,11,25500,1,2950,1,0,0,1
3445,0,1,750,0,0,1,0,1,1,72491,0,17,0,59,3,0,0,53500,3,0,1,1,1,144,2019,2,0,1,0,3,0,0,0,0,0,0,0,4,18991,1,3000,0,0,1,0
2979,0,0,750,4,0,8,0,1,1,37182,1,22,0,68,2,0,0,7400,3,0,2,1,0,218,2016,3,0,0,1,2,1,0,0,0,0,0,0,13,29782,1,3000,1,0,0,1
1773,0,1,750,2,0,10,0,1,1,31366,0,9,0,24,3,0,1,22200,2,0,0,0,0,68,2020,2,0,0,1,0,0,0,0,1,0,0,0,0,9166,1,3000,0,0,0,1
2808,0,1,750,2,0,5,0,1,1,7500,0,14,1,38,1,0,1,0,1,0,0,0,0,108,2016,2,0,0,0,1,0,0,0,1,0,0,0,14,7500,1,3000,0,0,0,0
1517,0,0,750,0,0,5,1,2,0,29262,1,9,1,46,1,0,0,12600,3,0,1,1,0,51,2016,2,0,0,0,3,0,0,0,0,0,0,0,22,16662,1,3000,0,1,0,0
703,0,1,750,3,0,8,1,1,0,29291,1,17,0,53,3,0,0,12600,5,0,1,1,0,105,2018,3,0,0,0,2,1,0,0,0,0,0,0,18,16691,1,3000,0,0,0,1
2750,0,1,750,0,0,8,0,1,1,208549,1,12,0,52,3,0,0,163700,0,0,2,1,0,73,2019,3,0,0,1,1,1,0,0,0,0,0,0,21,44849,1,2600,0,0,0,1
3995,0,0,750,4,0,2,0,1,1,23000,1,24,1,33,3,0,0,0,6,0,1,1,0,177,2014,2,0,0,0,1,1,0,0,0,0,0,0,8,23000,1,3000,0,1,0,0
4881,0,0,750,1,0,6,0,1,1,50500,1,12,0,50,2,0,0,10000,2,0,2,1,1,82,2018,4,0,0,4,1,1,0,0,0,0,0,0,7,40500,1,3000,0,1,0,1
55,0,0,750,0,1,5,1,1,0,13000,0,23,1,64,3,0,0,0,3,0,0,1,1,135,2020,1,0,0,0,1,0,0,0,1,0,0,0,1,13000,1,3000,0,0,0,0
4238,0,1,750,0,0,4,0,2,1,23173,1,22,0,40,4,0,0,5800,0,0,2,1,0,43,2009,2,0,0,1,2,0,0,0,0,0,0,0,17,17373,1,3000,0,0,0,1
3412,0,1,750,0,0,12,1,1,0,7500,1,12,0,30,3,0,0,0,3,1,0,0,0,13,2017,1,0,0,0,0,1,1,1,0,0,0,0,18,7500,0,2850,0,0,0,0
1301,0,0,750,1,0,8,1,3,0,152855,1,9,0,50,1,0,0,133200,4,0,1,1,0,43,2005,2,0,0,0,3,1,0,0,0,0,0,0,20,19655,1,2650,0,1,0,1
3930,0,0,750,1,0,11,1,1,0,31000,1,16,0,50,3,0,0,4000,5,0,2,1,0,145,2015,3,0,0,4,1,1,0,0,0,0,0,0,11,27000,1,2750,0,1,0,1
4153,0,0,750,0,0,10,0,1,1,52828,1,5,0,46,2,0,0,30700,5,0,1,1,0,179,2020,2,0,0,0,2,0,0,0,0,0,0,0,14,22128,1,2600,0,1,0,1
2214,0,0,750,3,0,1,0,4,1,39350,0,1,0,32,2,0,0,31100,1,0,0,1,0,13,2020,2,0,0,0,2,0,0,0,1,0,0,0,10,8250,1,3000,0,1,0,1
3300,0,1,750,4,0,11,1,2,0,127500,1,1,0,48,3,0,0,100000,4,0,2,1,0,42,2019,3,0,0,1,0,1,0,0,0,0,0,0,8,27500,1,3000,0,0,1,0
4058,0,1,750,0,0,3,0,2,1,29633,1,26,0,25,4,0,0,27900,1,1,0,0,0,50,2015,1,0,0,0,1,0,1,1,0,0,0,0,12,1733,0,3000,0,0,0,0
356,0,0,750,1,0,8,0,1,1,17000,1,7,1,41,1,0,0,0,2,0,1,1,0,95,2014,2,0,0,0,2,0,0,0,0,0,0,0,20,17000,1,3000,0,1,0,0
2607,0,0,750,1,0,9,0,1,1,17000,0,23,0,37,1,1,0,4500,0,0,0,0,0,79,2020,2,1,0,1,1,0,0,0,1,0,0,0,6,12500,1,3000,0,0,1,0
484,0,1,750,0,0,5,1,1,0,14109,1,13,0,61,2,0,0,3700,0,0,1,1,0,187,2019,2,0,0,0,0,1,0,0,0,0,0,0,18,10409,1,3000,0,0,1,0
3815,0,1,750,0,0,3,0,2,1,19500,1,1,0,25,3,0,1,11000,4,0,1,0,0,49,2014,2,0,0,1,0,0,0,0,0,0,0,0,10,8500,1,2600,0,0,0,1
2364,0,1,750,0,0,5,0,1,1,41500,1,15,1,49,2,0,0,17000,2,0,2,1,0,88,2013,2,0,0,2,3,0,0,0,0,0,0,0,23,24500,1,3000,0,0,0,0
2409,0,0,750,3,0,11,1,1,0,70000,1,27,1,35,2,0,0,30000,2,0,2,1,0,94,2014,4,1,0,2,3,1,0,0,0,0,0,0,16,40000,1,2600,0,0,0,0
2372,0,1,750,0,0,11,1,1,0,26843,0,12,0,50,3,0,0,8600,1,0,0,1,0,152,2018,1,0,0,0,0,0,0,0,1,0,0,0,18,18243,1,3000,0,0,0,1
1626,0,0,750,1,0,5,0,1,1,38034,1,1,0,57,3,0,0,19700,2,1,0,0,0,171,2014,1,0,0,0,2,0,1,1,0,0,0,0,10,18334,0,3000,0,1,0,0
